Labels,Predicted,Filename,PT
Ankle Boot,Sandal,true_label_Ankle Boot_predicted_label_Sandal_2.png,true_label_Ankle Boot_predicted_label_Sandal_2.pt
Ankle Boot,Sandal,true_label_Ankle Boot_predicted_label_Sandal_23.png,true_label_Ankle Boot_predicted_label_Sandal_23.pt
Ankle Boot,Sneaker,true_label_Ankle Boot_predicted_label_Sneaker_16.png,true_label_Ankle Boot_predicted_label_Sneaker_16.pt
Ankle Boot,Sneaker,true_label_Ankle Boot_predicted_label_Sneaker_39.png,true_label_Ankle Boot_predicted_label_Sneaker_39.pt
Ankle Boot,T-shirt,true_label_Ankle Boot_predicted_label_T-shirt_11.png,true_label_Ankle Boot_predicted_label_T-shirt_11.pt
Bag,T-shirt,true_label_Bag_predicted_label_T-shirt_18.png,true_label_Bag_predicted_label_T-shirt_18.pt
Coat,Dress,true_label_Coat_predicted_label_Dress_21.png,true_label_Coat_predicted_label_Dress_21.pt
Coat,Dress,true_label_Coat_predicted_label_Dress_22.png,true_label_Coat_predicted_label_Dress_22.pt
Coat,Pullover,true_label_Coat_predicted_label_Pullover_31.png,true_label_Coat_predicted_label_Pullover_31.pt
Coat,Shirt,true_label_Coat_predicted_label_Shirt_28.png,true_label_Coat_predicted_label_Shirt_28.pt
Coat,Shirt,true_label_Coat_predicted_label_Shirt_3.png,true_label_Coat_predicted_label_Shirt_3.pt
Coat,Shirt,true_label_Coat_predicted_label_Shirt_41.png,true_label_Coat_predicted_label_Shirt_41.pt
Coat,Shirt,true_label_Coat_predicted_label_Shirt_50.png,true_label_Coat_predicted_label_Shirt_50.pt
Coat,T-shirt,true_label_Coat_predicted_label_T-shirt_15.png,true_label_Coat_predicted_label_T-shirt_15.pt
Dress,Coat,true_label_Dress_predicted_label_Coat_10.png,true_label_Dress_predicted_label_Coat_10.pt
Dress,Coat,true_label_Dress_predicted_label_Coat_4.png,true_label_Dress_predicted_label_Coat_4.pt
Dress,Coat,true_label_Dress_predicted_label_Coat_44.png,true_label_Dress_predicted_label_Coat_44.pt
Dress,T-shirt,true_label_Dress_predicted_label_T-shirt_36.png,true_label_Dress_predicted_label_T-shirt_36.pt
Dress,T-shirt,true_label_Dress_predicted_label_T-shirt_6.png,true_label_Dress_predicted_label_T-shirt_6.pt
Pullover,Coat,true_label_Pullover_predicted_label_Coat_14.png,true_label_Pullover_predicted_label_Coat_14.pt
Pullover,Coat,true_label_Pullover_predicted_label_Coat_24.png,true_label_Pullover_predicted_label_Coat_24.pt
Pullover,Coat,true_label_Pullover_predicted_label_Coat_25.png,true_label_Pullover_predicted_label_Coat_25.pt
Pullover,Coat,true_label_Pullover_predicted_label_Coat_35.png,true_label_Pullover_predicted_label_Coat_35.pt
Pullover,Coat,true_label_Pullover_predicted_label_Coat_43.png,true_label_Pullover_predicted_label_Coat_43.pt
Pullover,Dress,true_label_Pullover_predicted_label_Dress_9.png,true_label_Pullover_predicted_label_Dress_9.pt
Pullover,Shirt,true_label_Pullover_predicted_label_Shirt_19.png,true_label_Pullover_predicted_label_Shirt_19.pt
Pullover,Shirt,true_label_Pullover_predicted_label_Shirt_29.png,true_label_Pullover_predicted_label_Shirt_29.pt
Pullover,Shirt,true_label_Pullover_predicted_label_Shirt_33.png,true_label_Pullover_predicted_label_Shirt_33.pt
Pullover,Shirt,true_label_Pullover_predicted_label_Shirt_8.png,true_label_Pullover_predicted_label_Shirt_8.pt
Pullover,T-shirt,true_label_Pullover_predicted_label_T-shirt_13.png,true_label_Pullover_predicted_label_T-shirt_13.pt
Pullover,T-shirt,true_label_Pullover_predicted_label_T-shirt_26.png,true_label_Pullover_predicted_label_T-shirt_26.pt
Pullover,T-shirt,true_label_Pullover_predicted_label_T-shirt_46.png,true_label_Pullover_predicted_label_T-shirt_46.pt
Pullover,T-shirt,true_label_Pullover_predicted_label_T-shirt_47.png,true_label_Pullover_predicted_label_T-shirt_47.pt
Pullover,T-shirt,true_label_Pullover_predicted_label_T-shirt_48.png,true_label_Pullover_predicted_label_T-shirt_48.pt
Shirt,Coat,true_label_Shirt_predicted_label_Coat_17.png,true_label_Shirt_predicted_label_Coat_17.pt
Shirt,Dress,true_label_Shirt_predicted_label_Dress_20.png,true_label_Shirt_predicted_label_Dress_20.pt
Shirt,Pullover,true_label_Shirt_predicted_label_Pullover_32.png,true_label_Shirt_predicted_label_Pullover_32.pt
Shirt,Pullover,true_label_Shirt_predicted_label_Pullover_38.png,true_label_Shirt_predicted_label_Pullover_38.pt
Shirt,Pullover,true_label_Shirt_predicted_label_Pullover_49.png,true_label_Shirt_predicted_label_Pullover_49.pt
Shirt,T-shirt,true_label_Shirt_predicted_label_T-shirt_27.png,true_label_Shirt_predicted_label_T-shirt_27.pt
Shirt,T-shirt,true_label_Shirt_predicted_label_T-shirt_34.png,true_label_Shirt_predicted_label_T-shirt_34.pt
Shirt,T-shirt,true_label_Shirt_predicted_label_T-shirt_37.png,true_label_Shirt_predicted_label_T-shirt_37.pt
Shirt,T-shirt,true_label_Shirt_predicted_label_T-shirt_40.png,true_label_Shirt_predicted_label_T-shirt_40.pt
Shirt,T-shirt,true_label_Shirt_predicted_label_T-shirt_45.png,true_label_Shirt_predicted_label_T-shirt_45.pt
Shirt,T-shirt,true_label_Shirt_predicted_label_T-shirt_5.png,true_label_Shirt_predicted_label_T-shirt_5.pt
Sneaker,Ankle Boot,true_label_Sneaker_predicted_label_Ankle Boot_42.png,true_label_Sneaker_predicted_label_Ankle Boot_42.pt
Sneaker,Ankle Boot,true_label_Sneaker_predicted_label_Ankle Boot_7.png,true_label_Sneaker_predicted_label_Ankle Boot_7.pt
Sneaker,Sandal,true_label_Sneaker_predicted_label_Sandal_12.png,true_label_Sneaker_predicted_label_Sandal_12.pt
Sneaker,T-shirt,true_label_Sneaker_predicted_label_T-shirt_1.png,true_label_Sneaker_predicted_label_T-shirt_1.pt
T-shirt,Shirt,true_label_T-shirt_predicted_label_Shirt_30.png,true_label_T-shirt_predicted_label_Shirt_30.pt
